saratoga,5-12-23,48,78
saratoga,5-13-23,53,86
saratoga,5-14-23,59,84
saratoga,5-15-23,55,82
saratoga,5-16-23,55,84
saratoga,5-17-23,55,82
saratoga,5-18-23,52,79
saratoga,5-19-23,53,79
saratoga,5-20-23,52,79
saratoga,5-21-23,54,81
riverside,5-12-23,52,81
riverside,5-13-23,56,88
riverside,5-14-23,57,88
riverside,5-15-23,58,89
riverside,5-16-23,61,90
riverside,5-17-23,61,89
riverside,5-18-23,59,83
riverside,5-19-23,60,84
riverside,5-20-23,62,83
riverside,5-21-23,60,89
sunnyvale,5-12-23,49,76
sunnyvale,5-13-23,53,84
sunnyvale,5-14-23,56,82
sunnyvale,5-15-23,54,80
sunnyvale,5-16-23,55,82
sunnyvale,5-17-23,55,81
sunnyvale,5-18-23,53,77
sunnyvale,5-19-23,54,75
sunnyvale,5-20-23,54,76
sunnyvale,5-21-23,55,77
goleta,5-12-23,50,74
goleta,5-13-23,53,80
goleta,5-14-23,55,75
goleta,5-15-23,54,75
goleta,5-16-23,55,74
goleta,5-17-23,56,76
goleta,5-18-23,56,74
goleta,5-19-23,55,74
goleta,5-20-23,58,78
goleta,5-21-23,57,82
